Mode,BusinessDate,DateTime,CardID,CardType,Card_SubType_Desc,Payment_Type,Fare_Type,Concession_Type,MI_Card_Group,VehicleID,ParentRoute,RouteID,StopID,StopNameShort,StopNameLong,StopType,SuburbName,PostCode,RegionName,LocalGovernmentArea,StatDivision,GPSLat,GPSLong
3,2015-08-10,2015-08-10T08:19:36,3781311,24,"Vic HCC - Low Income ",Paid,Concession,Other Concession,Other Concession,612,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-08-17,2015-08-17T11:14:39,2079440,3,General Student Concession,Paid,Concession,Other Concession,Tertiary,548,112,17669,4450,Gertrude Street - Stop 13,13-Gertrude St/Brunswick St (Fitzroy),Kerbside,Fitzroy,3065,Melbourne,Yarra,Greater Metro,-37.805593,144.97732
3,2015-09-19,2015-09-19T18:45:43,12849841,70,International Student,Paid,Concession,International Student,Tertiary,652,112,17669,4453,Johnston Street - Stop 16,16-Johnston St/Brunswick St (Fitzroy),Kerbside,Fitzroy,3065,Melbourne,Yarra,Greater Metro,-37.798169,144.978587
3,2015-09-21,2015-09-21T11:18:26,2087331,3,General Student Concession,Paid,Concession,Other Concession,Tertiary,645,112,17669,4455,Alexandra Parade - Stop 18,18-Alexandra Pde/Brunswick St (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.792931,144.979458
3,2015-10-20,2015-10-20T13:51:42,7379150,45,Retired Employee Dependent Travel Pass,Free,Concession,Free Pass,Other,568,112,17669,4457,Fitzroy Bowls Club - Stop 20,20-Fitzroy Bowls Club/Brunswick St (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.788174,144.980291
3,2015-10-13,2015-10-13T14:53:09,1151421,60,Bus drivers (Regional and Metropolitan (AB),Free,Concession,Free Pass,Other,679,112,17669,4461,Holden Street - Stop 24,24-Holden St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.779882,144.986888
3,2015-10-20,2015-10-20T11:46:30,14417790,13,PCC - Carer Payment,Paid,Concession,Other Concession,Other Concession,568,112,17669,4462,Miller Street - Stop 25,25-Miller St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.777953,144.988554
3,2015-11-29,2015-11-29T11:03:00,14417790,13,PCC - Carer Payment,Paid,Concession,Other Concession,Other Concession,699,112,17669,4462,Miller Street - Stop 25,25-Miller St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.777953,144.988554
3,2015-11-18,2015-11-18T14:08:32,10467881,44,Retired Employee Travel Pass,Free,Concession,Free Pass,Other,693,112,17669,4471,Hutton Street - Stop 33,33-Hutton St/St Georges Rd (Thornbury),Platform,Thornbury,3071,Melbourne,Darebin,Greater Metro,-37.755181,144.994229
3,2015-11-20,2015-11-20T09:30:51,10078620,37,"Vision Impaired ",Free,Concession,Free Pass,Other,598,112,17669,4471,Hutton Street - Stop 33,33-Hutton St/St Georges Rd (Thornbury),Platform,Thornbury,3071,Melbourne,Darebin,Greater Metro,-37.755181,144.994229
3,2015-09-29,2015-09-29T12:58:21,13451530,64,Employee Travel Pass,Free,Concession,Free Pass,Other,636,112,17669,4472,Miller Street - Stop 34,34-Miller St/St Georges Rd (Preston),Platform,Preston,3072,Melbourne,Darebin,Greater Metro,-37.75227,144.994927
3,2015-10-17,2015-10-17T14:49:37,7565141,44,Retired Employee Travel Pass,Free,Concession,Free Pass,Other,603,112,17669,4474,St Georges Road - Stop 35,35-St Georges Rd/Miller St (Preston),Kerbside,Preston,3072,Melbourne,Darebin,Greater Metro,-37.751643,144.994792
3,2015-11-12,2015-11-12T08:12:25,5271370,3,General Student Concession,Paid,Concession,Other Concession,Tertiary,618,112,17669,4480,Cramer Street - Stop 42,42-Cramer St/Gilbert Rd (Preston),Kerbside,Preston,3072,Melbourne,Darebin,Greater Metro,-37.738906,144.990027
